Content,Video title,Video publish time,Duration,Views,Watch time (hours),Subscribers,Estimated revenue (IDR),Impressions,Impressions click-through rate (%)
n9nP1yeaYpE,Perjalanan Sunyi: Mengenali dan Memaafkan Diri Sendiri – Dr. Fahruddin Faiz,"Apr 18, 2025",2184,11748,"3222,1532",88,"44488,599",87928,"6,72"
aXUjn_O5KwE,Lelah Tapi Tak Tahu Kenapa? Rahasia Burnout di Era ‘You Can’ – Dr. Fahruddin Faiz,"Oct 8, 2025",5896,11193,"5577,0514",63,"590811,009",151799,"5,82"
1-Q1IQaip1g,Resiliensi Diri: Tetap Kuat di Tengah Hidup Penuh Ketidakpastian – Dr. Fahruddin Faiz,"Oct 13, 2025",6350,11021,"6767,9455",50,"415386,484",111834,"7,32"
4D5FOjG9RRk,Apakah Sains Membuat Kita Kehilangan Makna Hidup?,"Dec 29, 2025",7400,10973,"7788,3631",47,"338648,64",97009,"7,88"
ATPDYC2U38U,Rasa Hampa Itu Teguran — Tapi Kamu Terus Mengabaikannya,"Apr 9, 2026",6186,10229,"6483,4349",41,"341734,273",108535,"6,65"
8wF27cyWJjk,Rahasia Tergelap Sufi: Mengapa Rabi’ah Menolak Surga & Neraka? – Dr. Fahruddin Faiz,"Dec 12, 2025",6049,9729,"5749,4234",39,"290859,443",106937,"6,47"
sI3NIt9VZ5M,Kenapa Kita Sering Cemas? Imam Ghazali Menjawab,"Apr 23, 2026",6244,9510,"6105,8346",29,"407979,698",120912,"5,61"
wGQIBfQebpc,Patah Hati & Obat Sufi: Rahasia Menyembuhkan Luka Jiwa – Dr. Fahruddin Faiz,"Aug 15, 2025",6745,9340,"6246,2782",52,"325208,377",108408,"6,31"
WDUBkz3yo34,Nur & Nalar: Mengapa Akal Tanpa Cahaya Ilahi Tak Pernah Cukup? – Dr. Fahruddin Faiz,"Aug 29, 2025",6766,9314,"6581,5868",44,"253253,596",107871,"6,14"
JjsXYxsQ8TM,Komposisi Diri Ideal: Apa yang Harus Ada? – Dr. Fahruddin Faiz,"May 7, 2025",49,9275,"68,9404",26,"105,19",2423,"3,26"
0eo-lNU6hr4,Ibadah Terasa Kosong: Kurang Amal atau Salah Kesadaran? – Dr. Fahruddin Faiz,"Jan 23, 2026",5549,9263,"5454,1687",32,"245057,732",94161,"7,01"
wtY_vNmt2iI,"Bukunya Dibakar, Ajarannya Dilarang — Siapa Takut Hamzah al-Fansuri?","Feb 20, 2026",6622,9097,"4955,1208",21,"222423,743",89334,"7,73"
0WB1XcKadIA,"KIAMAT EKOLOGIS SUDAH DIMULAI: Bukan Alam yang Binasa, Tapi KITA yang Punah! – Dr. Fahruddin Faiz","Dec 1, 2025",5007,9051,"3640,2664",30,"216206,07",109419,"6,71"
rxlohIdRDHo,Kenapa Bung Karno Mengkritik “Islam Sontoloyo”? Banyak yang Salah Paham,"Apr 12, 2026",6974,8913,"4520,8498",34,"142175,864",99878,"6,37"
ykEOnMSZRfU,Hidup Saja Tak Cukup: Mengapa Kita Harus Terjaga (Yaqdhan)? – Dr. Fahruddin Faiz,"Aug 20, 2025",7261,8912,"6343,9412",39,"325751,852",103270,"6,68"
9y48rso40So,Tua Tapi Tetap Bahagia?Ini 3 Kunci Keberuntungan Hidup – Dr. Fahruddin Faiz,"Apr 16, 2025",1414,8840,"1636,3727",69,"18607,394",70983,"6,4"
hZHaC06MtpA,Sejatinya Diri Kita Sendiri – Dr. Fahruddin Faiz | Suara Filsuf,"Apr 26, 2025",56,8786,"89,975",27,"39,663",6028,"3,95"
AAdYkCM-es0,Konfusius: Stop Menyalahkan Orang Lain! Pelajaran Hidup yang Mengubah Segalanya – Dr. Fahruddin Faiz,"Sep 10, 2025",6436,8585,"5361,6853",29,"257682,382",97861,"7,03"
vFCNhPTEh9g,Ibnu Atha’illah: Mahabbatullah & Jalan Ketenangan Hati – Dr. Fahruddin Faiz,"Sep 12, 2025",6329,8540,"4955,8705",29,"242399,266",87513,"7,29"
Pv235sqsq9g,Kenali Keunikanmu: Mengapa Kamu Berbeda dari Semua Orang? – Dr. Fahruddin Faiz,"Nov 12, 2025",6600,8428,"5547,2778",34,"338024,155",107699,"5,91"
aqYQaGTUiFc,Apakah Peradaban Barat Akan Runtuh? Teori Spengler,"Mar 25, 2026",6581,8379,"4889,7221",30,"241461,543",107287,"5,92"
4C3d299iNqQ,Orang Relijius? Ternyata Begini Ciri Aslinya! - Dr. Fahruddin Faiz,"May 16, 2025",59,8352,"63,431",24,"139,363",5327,"4,54"
wYefZyA01Iw,"Kontrollah Keinginanmu, Baru Kamu Bisa Bahagia – Dr. Fahruddin Faiz | Suara Filsuf","May 8, 2025",49,8139,"56,7178",18,"105,182",6064,"2,69"
DLQaTlML7eg,Sudut Pandangmu Menentukan Hidupmu – Dr. Fahruddin Faiz,"May 10, 2025",35,7942,"38,8948",22,"63,715",2443,"4,5"
UOy0kj5LBfQ,Siapa Guru Sejati? Ini Wejangan Sunan Bonang – Dr. Fahruddin Faiz,"Jun 15, 2025",27,7862,"35,1561",7,"833,809",20835,"3,44"
FNgAgTF14ME,Kenapa Pendosa Justru Lebih Dicintai Allah?,"Apr 16, 2026",6189,7507,"4625,9178",21,"229139,575",73713,"6,75"
9rUX9c_LBhw,Benarkah Kita Sebenarnya “Tiada”? Penjelasan Ibnu Arabi,"Feb 28, 2026",7094,7122,"4539,7358",17,"190309,938",71253,"7,12"
OApdwmPZc3Q,Filsafat Kebebasan: Berhenti Jadi “BUDAK PATUH” dan Ikuti Suara Hatimu – Dr. Fahruddin Faiz,"Nov 24, 2025",6551,7016,"3878,6512",25,"238685,403",88630,"6,23"
L2r0Cwyc5nA,"Hidup Terlalu Berat? Rahasia Logoterapi, Tetap Bermakna di Tengah Penderitaan – Dr. Fahruddin Faiz","Oct 15, 2025",7405,6741,"4596,8321",21,"233395,458",70194,"6,82"
7-5SYLpfS0I,Jangan-Jangan Kamu Tertipu Amalmu Sendiri — Peringatan Imam Al-Ghazali,"Mar 6, 2026",6411,6641,"4012,8213",13,"216340,757",60890,"7,73"
hIF1cEgtvHs,Cicero & Seni Menua: Rahasia Hidup Tenang di Usia Senja – Dr. Fahruddin Faiz,"Sep 26, 2025",6061,6508,"3198,9093",34,"186283,26",80227,"6,66"
_6odXfcSF2Y,Penyakit Ini Ada Dalam Dirimu — Kata Sunan Bonang Paling Sulit Disembuhkan,"Feb 13, 2026",7269,6228,"4225,4788",18,"187351,348",64543,"7,07"
EW6b0UbUTIs,Kenapa Angka Bisa Membuat Kita Merasa Alam Semesta Punya Makna? – Dr. Fahruddin Faiz,"Jan 5, 2026",6547,6199,"3976,1176",25,"145980,205",68819,"6,63"
6cbT8wGZb78,BERHENTI JADI DOMBA! Rahasia Mengendalikan Herd Mentality di Era Digital – Dr. Fahruddin Faiz,"Oct 20, 2025",6237,6152,"3763,9906",22,"210718,006",59728,"7,67"
YulSY730qR0,Nashiruddin at-Thusi: Perjalanan Menuju Allah – Bekal & Senjata Spiritualmu! | Dr. Fahruddin Faiz,"Jul 30, 2025",6679,6020,"4409,0326",28,"194653,764",55924,"7,88"
yfKFKMvi6-E,Bangun Mental Baja! Kekuatan Filsafat untuk Hidup Penuh Percaya Diri – Dr. Fahruddin Faiz,"Apr 21, 2025",1594,5912,"1039,9296",47,"23125,786",68529,"5,81"
-K-2ukv-eyE,RAHASIA AKHLAK NABI: Cara Menjadi Pribadi Agung seperti Rasulullah SAW – Dr. Fahruddin Faiz,"Nov 21, 2025",6827,5895,"4546,1325",27,"97206,227",68562,"5,42"
p_bYA7W96IA,"Hindari Hal Ini, Maka Jiwamu Akan Tenang – Dr. Fahruddin Faiz","Jun 4, 2025",64,5826,"55,6809",11,"897,463",3040,"5,07"
UORg11m_Z3E,Setan & Hewan dalam Dirimu — Harus Dimatikan atau Dikendalikan?,"Mar 18, 2026",7098,5764,"4186,0083",13,"176215,484",53905,"7,05"
_b4mLBxeAko,Ini Tolak Ukur Kualitas Diri yang Sebenarnya – Dr. Fahruddin Faiz,"Jul 17, 2025",27,5746,"36,2226",13,"756,659",2708,"2,92"
G2QlwECESvU,Rahasia Mimpi: Jangan-Jangan Hidup Ini Hanya Tidur Panjang? – Dr. Fahruddin Faiz,"Nov 17, 2025",7285,5663,"4435,089",15,"222849,663",58352,"7,39"
3Ulx8gYl_Nk,Saat Cinta pada Tuhan Dianggap Kejahatan — Pelajaran Sunyi dari Al-Hallaj – Dr. Fahruddin Faiz,"Jan 30, 2026",6858,5530,"3843,9536",16,"142750,219",58166,"6,52"
lWYtYFiDoJQ,Banyak Orang Salah Jalan — Jangan Masuk Tasawuf Sebelum Tahu Ini — Syekh Abdus-Samad al-Falimbani,"Feb 7, 2026",7125,5429,"3373,7113",12,"137615,348",52339,"7,33"
Fk1y1oXOx2M,Menjaga Jiwa dari Amarah – Renungan Lembut Dr. Fahruddin Faiz,"Jun 5, 2025",66,5232,"49,1698",17,"786,36",2379,"3,78"
50dc1UaQUi4,Jangan Asal Pilih Guru! Ini Nasihat Bijak dari Raja Jawa – Dr. Fahruddin Faiz,"Jun 14, 2025",80,5126,"55,3338",12,"688,819",3501,"3,74"
UQmPrY_4d5A,Mental Kaya Bukan Soal Uang – Dr. Fahruddin Faiz | Suara Filsuf,"May 2, 2025",49,4978,"32,6934",13,"50,165",2941,"3,33"
7gM1z3Lqq-Y,Menua Bahagia: Rahasia Hidup Tenang di Usia Senja – Dr. Fahruddin Faiz,"Oct 6, 2025",6410,4939,"2873,449",27,"170473,838",52369,"7,69"
3h5KO4psNq4,Self-Hatred: Mengapa Membenci Diri Sendiri Lebih Berbahaya dari Kesepian? – Dr. Fahruddin Faiz,"Sep 3, 2025",6981,4849,"3036,0068",14,"156528,512",68509,"5,73"
sRpOBmixJC8,"Bebas Itu Pilihan! Latihlah Dirimu Melepas Beban, Hidup Jadi Lebih Ringan","May 12, 2026",6749,4837,"3071,9224",10,"149152,332",59506,"6,37"
DroF80vgbxA,Kamu Lelah Bukan Karena Dunia—Tapi Karena Kamu Tidak Bisa Melepaskannya,"May 15, 2026",6289,4813,"3131,7289",7,"130937,039",56818,"6,29"
i60i0P5W1Lc,"Kita Mengaku Rasional, Tapi Mengapa Takut Mengkritik Ilmu? – Dr. Fahruddin Faiz","Jan 7, 2026",6578,4607,"2913,8922",20,"104503,609",49698,"6,62"
ISkN2WaCIrE,Kenapa Kita Sering Tidak Bahagia? Rahasia di Balik Ketidakbahagiaan Hidup – Dr. Fahruddin Faiz,"May 5, 2025",2459,4512,"1155,1489",30,"3548,587",56012,"5,62"
s-8sbrJl-Zk,Pengalaman Pahit: Guru Kehidupan yang Paling Jujur – Refleksi Dr. Fahruddin Faiz,"Jun 13, 2025",50,4506,"36,1417",7,"644,298",2256,"3,5"
eGN2v-v2AwU,Heroisme Itu Sudah Hilang Hari Ini,"May 3, 2026",28,4480,"15,8568",3,"503,23",496,"1,61"
zzWWpa0U1OU,"Derita Bukan Kutukan, Tapi Jalan Kesadaran – Dr. Fahruddin Faiz","Jun 2, 2025",60,4381,"36,3312",5,"638,68",2763,"4,34"
OnpgO_Zr_vk,Mengapa Kita Sulit Tenang? Ini Jawaban yang Tidak Nyaman,"Mar 19, 2026",6608,4354,"2704,7016",7,"147622,429",42551,"7,32"
Ez69Fn9wBo4,"Tolak Rasa Sakitmu, Maka Ia Akan Lenyap – Dr. Fahruddin Faiz","Jun 8, 2025",2963,4353,"1321,6297",25,"72029,146",50813,"6,48"
CYC0e08mq58,STOP MERASA HAMPA! Temukan Akar Krisis Spiritual & Jalan Kembali ke Makna Hidup – Dr. Fahruddin Faiz,"Nov 3, 2025",6155,4344,"2604,2626",7,"152037,458",46040,"6,64"
tXf38ki3N0w,Filsafat Cahaya yang Membuatnya Dieksekusi — Kisah Suhrawardi Al-Maqtul,"Feb 19, 2026",7000,4269,"2724,1174",11,"109293,932",42069,"7,25"
1IkwOLBXk5U,Kunci Hidup Tenang ala Filsafat Stoik – Dr. Fahruddin Faiz | Suara Filsuf,"May 3, 2025",48,4267,"29,077",5,"53,864",4559,"2,83"
Uo8Wn1KoqTE,Masih Cinta tapi Lelah — Salah Hubungannya atau Cara Mencintaimu? – Dr. Fahruddin Faiz,"Jan 29, 2026",6624,4242,"2365,8375",9,"122187,751",49890,"6,32"
DtJlIwfR7oQ,Matikan Egomu Sebelum Hidupmu Dipenuhi Penyesalan,"Jun 24, 2026",5922,4210,"2371,1569",12,"148277,881",47745,"7,23"
wvpnuhSMT-k,Tugas Hidup Itu Amanah – Jangan Lari dari Peranmu | Dr. Fahruddin Faiz,"Jun 8, 2025",72,4127,"38,2202",7,"580,544",3039,"4,87"
z1HQ5GPvfV8,Kenapa Manusia Tidak Bisa Ditebak? Hikmah Jawa Janma Tan Kena Kinira,"Mar 7, 2026",6847,4110,"2805,1561",10,"122424,69",45782,"6,24"
Ne_egWJbpeI,Rahasia Hidup Tentram & Bahagia Tanpa Ribet! – Dr. Fahruddin Faiz,"May 6, 2025",1391,4045,"730,3279",32,"3992,396",47249,"5,62"
Y7ksFroHra8,"Filsafat Identitas Diri: Jangan Cari Dirimu, Tapi Ciptakan Dirimu Sendiri – Dr. Fahruddin Faiz","Sep 22, 2025",7172,4020,"2571,6838",18,"127330,387",40154,"7,73"
i-PWxYUL84I,Einstein: Mengapa Imajinasi Lebih Berharga daripada Pengetahuan? – Dr. Fahruddin Faiz,"Jan 12, 2026",5731,3936,"2326,547",18,"118254,156",47453,"5,8"
Omc62iupiXw,"Bahagiakan Dirimu Dulu, Baru Orang Lain – Dr. Fahruddin Faiz","May 12, 2025",61,3877,"34,6409",7,"37,178",2219,"6,44"
W_b16U9IXy4,10 Wejangan Sunan Kalijaga: Cara Menang Tanpa Pasukan & Kaya Tanpa Harta – Dr. Fahruddin Faiz,"Oct 29, 2025",7309,3854,"2794,6857",20,"138949,055",47001,"6,35"
lEOYd7anBtM,Bahagia Itu Dimulai dari Penerimaan – Dr. Fahruddin Faiz | Suara Filsuf,"May 24, 2025",45,3812,"25,9107",11,"443,18",1946,"4,52"
vOXk9JBVZvI,Kenapa Harus Berkorban? Logika Tirakat Menuju Sukses Sejati – Dr. Fahruddin Faiz,"Nov 26, 2025",7058,3734,"2476,5773",12,"131196,615",42748,"6,59"
2vZiYXOxvu8,Hakikat Manusia yang Benar-Benar Manusia – Dr. Fahruddin Faiz,"Oct 7, 2025",60,3702,"29,4529",9,"570,729",6062,"4,34"
JwznEX9FlzU,MENGAPA KITA MENDERITA? Jawaban Mengejutkan dari Nietzsche untuk HIDUP MODERN – Dr. Fahruddin Faiz,"Nov 19, 2025",5444,3681,"2149,2161",14,"143569,919",46947,"5,89"
annICPwf6yg,"RAHASIA RUMI TERUNGKAP: Dunia Hanya Kulit, Cinta adalah INTI DIRI MANUSIA! – Dr. Fahruddin Faiz","Dec 19, 2025",6917,3659,"2523,9305",9,"127055,553",35429,"7,9"
Bn3jULfnFw8,4 Krisis Manusia Modern: Mengapa Kita Hampa dan Kehilangan Jati Diri – Dr. Fahruddin Faiz,"Nov 5, 2025",6494,3584,"2325,2189",17,"168919,903",42940,"5,69"
1-OseAZtMRk,"Haters Itu Refleksi Gratis, Jangan Disia-siakan – Dr. Fahruddin Faiz","Jul 22, 2025",50,3536,"28,1816",9,"468,281",3164,"2,97"
iK5qq0Ia3GI,Tahu Diri & Tahu Batas: Dua Kunci Agar Hidupmu Tidak Nyasar - Dr. Fahruddin Faiz,"Apr 17, 2025",25,3503,"9,8731",5,"33,554",1132,"4,86"
czmJJykw-O0,5 Kunci Mengalahkan Ego untuk Hidup Tenang & Sehat Secara Spiritual – Dr. Fahruddin Faiz,"Oct 24, 2025",4361,3476,"1672,2714",15,"120842,791",34058,"7,26"
TgNLpMdsVUs,Kenapa Kita Harus Ngaji Filsafat? – Dr. Fahruddin Faiz,"Aug 23, 2025",56,3474,"21,5621",3,"450,696",3108,"2,9"
cAywIh3Vvp0,Akal Tidak Menyelamatkan Hidupmu: Mengapa Kepintaran Bisa Membuat Jiwa Kosong – Dr. Fahruddin Faiz,"Dec 15, 2025",6292,3426,"2251,1759",6,"118136,815",37492,"7,27"
zIH8UQ8f8B4,Ambisi Bisa Mengotori Jiwa – Pesan Dr. Fahruddin Faiz,"Jun 6, 2025",61,3414,"28,5929",5,"498,882",1453,"5,51"
r5a6etM2vCE,Sadar Diri Itu Kunci: Kita Hanyalah Manusia Biasa – Dr. Fahruddin Faiz | Suara Filsuf,"May 23, 2025",61,3314,"31,2848",9,"445,56",5650,"3,79"
F69cYlh9ztU,Ikhwan al-Shafa: Filsuf Misterius yang Menyamar Demi Kebenaran – Dr. Fahruddin Faiz,"Aug 22, 2025",6888,3312,"2262,5365",19,"50192,034",37005,7
Mu_6diZ285k,Rahasia Hidup Sederhana: Jalan Asketisisme yang Membawa Kedamaian – Dr. Fahruddin Faiz,"Sep 29, 2025",6252,3279,"2215,9198",13,"124321,654",33976,"7,88"
Lw9-DElmrgA,"Yang Bikin Kamu Sakit Bukan Masalahnya, Tapi Pikiranmu","Jun 24, 2025",126,3272,"38,6912",13,"395,877",3509,"9,23"
gRfelaUGtv8,"Kelola Instingmu, Sebelum Hidupmu Jadi Masalah! – Dr. Fahruddin Faiz","Apr 29, 2025",2172,3218,"733,3464",12,"467,387",35806,"6,72"
dzmZ4xsBkr8,Banyak Orang Depresi Karena Tidak Tahu Makna Hidup – Dr. Fahruddin Faiz,"Oct 21, 2025",57,3158,"26,6349",13,"515,219",3208,"3,8"
SXKHMYcGfho,Ketika Kebaikan Dianggap Kelemahan — Pelajaran Sunyi dari Isa AS – Dr. Fahruddin Faiz,"Feb 5, 2026",7003,3110,"2119,5393",4,"87917,655",34179,"6,9"
elH1GIL1Zho,Imam Ghazali: Musuh Terbesar Hidupmu Ternyata Dirimu Sendiri – Dr. Fahruddin Faiz,"Jun 21, 2026",6933,3109,"2185,3232",13,"136955,734",30479,"8,02"
3WE9d673LXM,Ulama Ini Mengubah Cara Orang Mendekat pada Tuhan — Hikmah Kiai Sholeh Darat As-Samarani,"Feb 12, 2026",7109,3109,"1984,7041",7,"61763,212",30386,"7,12"
pptq4g_4--U,Ciri Suara Hati Nurani yang Sering Kita Abaikan – Dr. Fahruddin Faiz,"Jun 17, 2025",42,3103,"15,7258",9,"382,061",5594,"3,74"
bFpVDwuwhPo,FILSAFAT KENABIAN:Mengapa Allah Mengutus Nabi? Akal Manusia Ternyata Tak Cukup! – Dr. Fahruddin Faiz,"Nov 28, 2025",6763,3103,"2379,0535",13,"129934,049",35809,"6,15"
F5DrNkPnDAE,Mengapa Kita Sulit Bahagia? Ini Jawaban Al-Farabi yang Dilupakan,"Mar 16, 2026",7031,3080,"2282,6722",3,"106531,543",29826,"7,12"
Y-_RClRGOJo,Dua Racun Jiwa yang Harus Kamu Hindari – Dr. Fahruddin Faiz,"Jun 7, 2025",53,3055,"22,4361",8,"489,593",1595,"5,96"
PuAYT2qtfQE,Sinyal Allah untuk Kita: Sudahkah Kita Mendekat? - Dr. Fahruddin Faiz,"Apr 28, 2025",55,3035,"19,2652",16,"11,447",1819,"2,25"
I1kKIOVHjm0,Mengapa Kita Harus Jatuh Cinta Sebelum Mengenal Tuhan? Pelajaran Para Sufi,"Mar 13, 2026",6458,3034,"1734,0784",5,"89255,925",36823,"6,17"
ab9Z7CXZwEk,Orang Hebat Tak Anti Kritik – Dr. Fahruddin Faiz | Suara Filsuf,"May 31, 2025",64,2982,"24,8484",8,"389,372",1425,"3,37"
vhAXKZyCm-M,"Bukan Dunia, Tapi Otakmu yang Bikin Kamu Menderita","Jun 21, 2025",164,2948,"69,3809",11,"513,509",4901,"7,79"
q-5F2Wng2PY,Cinta Posesif: Pandangan Filosofi Eksistensial – Dr. Fahruddin Faiz,"May 1, 2025",51,2892,"14,5689",5,"27,479",2787,"2,58"
AJzuQ6g2VSs,Masyarakat Efisien: Cerdas Tapi Kehilangan Jiwa – Dr. Fahruddin Faiz,"Oct 11, 2025",84,2822,"21,5488",3,"400,3",2008,"5,03"
OspCCNbeJns,Ibnu Sina: Saat Pikiran Melukai Tubuh | Dr. Faiz,"Jun 5, 2026",6356,2790,"2080,699",7,"94149,896",24261,"8,74"
JmyCCq8rhvg,"""Makna Hidup Itu Diciptakan, Bukan Ditemukan – Dr. Fahruddin Faiz | Suara Filsuf","May 14, 2025",83,2787,"31,9092",11,"51,991",3145,"5,53"
eoKRgpLSSqU,"Takut Sendirian, Pasti Kesepian - Dr. Fahruddin Faiz | Suara Filsuf","May 17, 2025",35,2774,"13,533",4,"67,673",2913,"4,05"
1tB76qa_QUI,Ziauddin Sardar: Hidup di Zaman Kekacauan & Post-Normal Times – Dr. Fahruddin Faiz,"Sep 24, 2025",6113,2744,"1603,138",9,"73668,457",27593,"7,68"
9p_P6M98xuY,Rahasia Paradoks Hedonisme: Kenapa Bahagia Malah Sulit Diraih? – Dr. Fahruddin Faiz,"Sep 15, 2025",6283,2709,"1672,7347",11,"83667,903",50804,"4,4"
OyNeEnj4o8s,"Syukuri Peran Hidupmu, Itu Amanah dari Tuhan – Dr. Fahruddin Faiz","May 19, 2025",49,2691,"20,8689",5,"74,074",1507,"4,98"
rmXaLx4Z-WU,Dostoevsky: Mengapa Manusia Menikmati Penderitaan? – Dr. Fahruddin Faiz,"Oct 1, 2025",7406,2679,"1866,4302",9,"81803,176",39530,"5,21"
qZPAQr2M73U,Waskito: Ketajaman Batin yang Tak Bisa Dibohongi,"Jun 26, 2025",88,2671,"35,2755",7,"412,154",2807,"6,34"
6iTfwJKZsYc,Makna Serawung Roso: Menyatu Tanpa Kata – Dr. Fahruddin Faiz,"Jul 12, 2025",63,2628,"21,1824",7,"333,143",1923,"3,28"
g76_2J06BOM,Kenapa Disebut Al-Ikhlas?,"May 25, 2026",56,2626,"9,4724",5,"333,498",757,"1,85"
xxK0HKMAP2w,Cinta Dunia Bisa Membawa ke Tuhan? Kisah Yusuf & Zulaikha,"Mar 11, 2026",6395,2614,"1666,8811",4,"111029,962",28320,"6,71"
f-Mr44dgcVo,Hidupmu Berat? Itu Medan Latihan Batinmu — Dr. Fahruddin Faiz,"Jun 30, 2025",44,2601,"17,516",3,"362,29",2664,"3,79"
vvGgLL_59Gw,Mulla Sadra: Benarkah Pikiranmu Menentukan Nasibmu di Akhirat?,"Apr 30, 2026",6753,2599,"1545,6708",8,"73495,544",23172,"8,22"
to3-5iLwS9U,"DEKENGAN PUSAT: Saat Semua Gagal, Hanya Allah yang Jadi Sandaran Terakhir – Dr. Fahruddin Faiz","Oct 31, 2025",6248,2588,"1624,1119",9,"105093,664",27940,"6,39"
QaOYng9-PfI,Tanda Hatimu Masih Hidup – Pesan Mendalam dari Dr. Fahruddin Faiz,"Jun 16, 2025",83,2578,"29,4068",3,"419,252",1423,"6,89"
3Q6242_5rWM,Masalahmu Berawal dari Terlalu Memilih,"Apr 23, 2026",27,2548,"6,8332",1,"367,06",394,"4,06"
